travelCode,userCode,from,place,flightType,Fprice,agency,name,days,price,total,FHtotal
150,2,Brasilia (DF),Aracaju (SE),firstClass,1214.82,Rainbow,Hotel Z,2,208.04,416.08,1630.9
153,2,Aracaju (SE),Campo Grande (MS),premium,1021.53,CloudFy,Hotel BW,4,60.39,241.56,1263.09
156,2,Recife (PE),Brasilia (DF),firstClass,697.22,FlyingDrops,Hotel BP,2,247.62,495.24,1192.46
160,2,Recife (PE),Campo Grande (MS),economic,563.71,CloudFy,Hotel BW,2,60.39,120.78,684.49
165,2,Recife (PE),Natal (RN),firstClass,633.71,FlyingDrops,Hotel BD,3,242.88,728.64,1362.35
177,2,Brasilia (DF),Aracaju (SE),premium,965.62,Rainbow,Hotel Z,2,208.04,416.08,1381.7
180,2,Aracaju (SE),Campo Grande (MS),premium,1116.83,Rainbow,Hotel BW,3,60.39,181.17,1298
187,2,Recife (PE),Aracaju (SE),premium,932.84,CloudFy,Hotel Z,3,208.04,624.12,1556.96
188,2,Brasilia (DF),Sao Paulo (SP),premium,750,Rainbow,Hotel AF,2,139.1,278.2,1028.2
189,2,Aracaju (SE),Salvador (BH),firstClass,1723.71,Rainbow,Hotel K,4,263.41,1053.64,2777.35
192,2,Brasilia (DF),Florianopolis (SC),economic,884.94,CloudFy,Hotel A,4,313.02,1252.08,2137.02
197,2,Brasilia (DF),Florianopolis (SC),premium,1222.24,Rainbow,Hotel A,3,313.02,939.06,2161.3
201,2,Aracaju (SE),Florianopolis (SC),firstClass,1582.41,Rainbow,Hotel A,2,313.02,626.04,2208.45
205,2,Brasilia (DF),Rio de Janeiro (RJ),firstClass,539.39,FlyingDrops,Hotel CB,2,165.99,331.98,871.37
211,2,Recife (PE),Aracaju (SE),economic,663.23,Rainbow,Hotel Z,3,208.04,624.12,1287.35
213,2,Brasilia (DF),Salvador (BH),economic,921.08,Rainbow,Hotel K,3,263.41,790.23,1711.31
214,2,Aracaju (SE),Recife (PE),economic,604.14,CloudFy,Hotel AU,1,312.83,312.83,916.97
219,2,Brasilia (DF),Florianopolis (SC),economic,889.07,Rainbow,Hotel A,2,313.02,626.04,1515.11
221,2,Aracaju (SE),Salvador (BH),economic,943.36,Rainbow,Hotel K,1,263.41,263.41,1206.77
224,2,Aracaju (SE),Brasilia (DF),premium,755.62,CloudFy,Hotel BP,3,247.62,742.86,1498.48
225,2,Brasilia (DF),Natal (RN),premium,1067.3,CloudFy,Hotel BD,4,242.88,971.52,2038.82
233,3,Brasilia (DF),Florianopolis (SC),firstClass,1569.65,FlyingDrops,Hotel A,2,313.02,626.04,2195.69
235,3,Brasilia (DF),Florianopolis (SC),economic,889.07,Rainbow,Hotel A,3,313.02,939.06,1828.13
238,3,Recife (PE),Florianopolis (SC),premium,1070.54,Rainbow,Hotel A,2,313.02,626.04,1696.58
239,3,Recife (PE),Florianopolis (SC),firstClass,1434.38,FlyingDrops,Hotel A,2,313.02,626.04,2060.42
240,3,Recife (PE),Brasilia (DF),economic,439.38,Rainbow,Hotel BP,4,247.62,990.48,1429.86
241,3,Recife (PE),Florianopolis (SC),premium,1074.75,CloudFy,Hotel A,1,313.02,313.02,1387.77
243,3,Aracaju (SE),Rio de Janeiro (RJ),firstClass,1183.57,CloudFy,Hotel CB,1,165.99,165.99,1349.56
244,3,Aracaju (SE),Recife (PE),economic,602.49,Rainbow,Hotel AU,4,312.83,1251.32,1853.81
246,3,Brasilia (DF),Recife (PE),economic,432.1,CloudFy,Hotel AU,2,312.83,625.66,1057.76
248,3,Recife (PE),Campo Grande (MS),premium,793.15,CloudFy,Hotel BW,2,60.39,120.78,913.93
255,3,Aracaju (SE),Florianopolis (SC),firstClass,1499.93,FlyingDrops,Hotel A,1,313.02,313.02,1812.95
259,3,Brasilia (DF),Natal (RN),firstClass,1433.35,FlyingDrops,Hotel BD,2,242.88,485.76,1919.11
263,3,Brasilia (DF),Campo Grande (MS),premium,851.15,Rainbow,Hotel BW,3,60.39,181.17,1032.32
269,3,Brasilia (DF),Rio de Janeiro (RJ),firstClass,586.04,Rainbow,Hotel CB,2,165.99,331.98,918.02
275,3,Brasilia (DF),Natal (RN),economic,726.19,Rainbow,Hotel BD,2,242.88,485.76,1211.95
279,3,Recife (PE),Natal (RN),premium,474.6,CloudFy,Hotel BD,1,242.88,242.88,717.48
283,3,Recife (PE),Sao Paulo (SP),premium,670.13,Rainbow,Hotel AF,1,139.1,139.1,809.23
287,3,Brasilia (DF),Recife (PE),firstClass,691.39,FlyingDrops,Hotel AU,1,312.83,312.83,1004.22
290,3,Recife (PE),Campo Grande (MS),firstClass,1069.12,Rainbow,Hotel BW,1,60.39,60.39,1129.51
291,3,Brasilia (DF),Salvador (BH),economic,921.08,Rainbow,Hotel K,1,263.41,263.41,1184.49
295,3,Recife (PE),Natal (RN),firstClass,669.83,CloudFy,Hotel BD,4,242.88,971.52,1641.35
296,3,Aracaju (SE),Recife (PE),premium,835.21,CloudFy,Hotel AU,3,312.83,938.49,1773.7
299,3,Recife (PE),Sao Paulo (SP),economic,513.06,CloudFy,Hotel AF,3,139.1,417.3,930.36
300,3,Brasilia (DF),Salvador (BH),premium,1268.97,Rainbow,Hotel K,3,263.41,790.23,2059.2
303,3,Aracaju (SE),Campo Grande (MS),firstClass,1387.89,Rainbow,Hotel BW,1,60.39,60.39,1448.28
305,3,Recife (PE),Natal (RN),economic,301.51,CloudFy,Hotel BD,4,242.88,971.52,1273.03
306,3,Aracaju (SE),Florianopolis (SC),premium,1174.97,CloudFy,Hotel A,3,313.02,939.06,2114.03
307,3,Aracaju (SE),Natal (RN),premium,535.95,CloudFy,Hotel BD,2,242.88,485.76,1021.71
311,3,Aracaju (SE),Sao Paulo (SP),economic,410.79,CloudFy,Hotel AF,2,139.1,278.2,688.99
315,3,Recife (PE),Rio de Janeiro (RJ),premium,1270.03,CloudFy,Hotel CB,3,165.99,497.97,1768
322,3,Aracaju (SE),Natal (RN),firstClass,598.61,CloudFy,Hotel BD,1,242.88,242.88,841.49
325,3,Brasilia (DF),Rio de Janeiro (RJ),firstClass,649.64,CloudFy,Hotel CB,3,165.99,497.97,1147.61
337,3,Aracaju (SE),Rio de Janeiro (RJ),economic,717.04,CloudFy,Hotel CB,3,165.99,497.97,1215.01
338,3,Brasilia (DF),Aracaju (SE),economic,721.2,Rainbow,Hotel Z,3,208.04,624.12,1345.32
347,3,Recife (PE),Brasilia (DF),economic,393.68,CloudFy,Hotel BP,1,247.62,247.62,641.3
350,3,Recife (PE),Natal (RN),premium,474.6,CloudFy,Hotel BD,1,242.88,242.88,717.48
363,3,Brasilia (DF),Sao Paulo (SP),firstClass,992.17,Rainbow,Hotel AF,1,139.1,139.1,1131.27
369,3,Brasilia (DF),Recife (PE),firstClass,772.21,Rainbow,Hotel AU,3,312.83,938.49,1710.7
373,3,Recife (PE),Campo Grande (MS),firstClass,1038.95,FlyingDrops,Hotel BW,4,60.39,241.56,1280.51
377,3,Aracaju (SE),Florianopolis (SC),economic,869.13,CloudFy,Hotel A,4,313.02,1252.08,2121.21
382,3,Recife (PE),Salvador (BH),premium,1242.65,CloudFy,Hotel K,2,263.41,526.82,1769.47
383,3,Aracaju (SE),Florianopolis (SC),economic,852.18,Rainbow,Hotel A,2,313.02,626.04,1478.22
385,3,Recife (PE),Campo Grande (MS),economic,615.59,Rainbow,Hotel BW,2,60.39,120.78,736.37
387,3,Brasilia (DF),Sao Paulo (SP),premium,698.1,CloudFy,Hotel AF,3,139.1,417.3,1115.4
388,3,Aracaju (SE),Natal (RN),premium,535.95,CloudFy,Hotel BD,4,242.88,971.52,1507.47
394,3,Aracaju (SE),Salvador (BH),firstClass,1723.71,Rainbow,Hotel K,4,263.41,1053.64,2777.35
397,3,Brasilia (DF),Recife (PE),economic,432.1,CloudFy,Hotel AU,4,312.83,1251.32,1683.42
398,3,Recife (PE),Campo Grande (MS),firstClass,1038.95,FlyingDrops,Hotel BW,4,60.39,241.56,1280.51
403,3,Recife (PE),Sao Paulo (SP),economic,545.95,Rainbow,Hotel AF,3,139.1,417.3,963.25
404,3,Brasilia (DF),Aracaju (SE),firstClass,1260.1,CloudFy,Hotel Z,1,208.04,208.04,1468.14
406,3,Recife (PE),Natal (RN),premium,474.6,CloudFy,Hotel BD,2,242.88,485.76,960.36
408,3,Recife (PE),Salvador (BH),premium,1249.83,Rainbow,Hotel K,1,263.41,263.41,1513.24
409,3,Aracaju (SE),Salvador (BH),firstClass,1684.05,CloudFy,Hotel K,3,263.41,790.23,2474.28
410,3,Recife (PE),Campo Grande (MS),premium,832.77,Rainbow,Hotel BW,3,60.39,181.17,1013.94
412,3,Aracaju (SE),Florianopolis (SC),firstClass,1499.93,FlyingDrops,Hotel A,2,313.02,626.04,2125.97
415,3,Aracaju (SE),Rio de Janeiro (RJ),premium,930.12,Rainbow,Hotel CB,2,165.99,331.98,1262.1
417,3,Recife (PE),Natal (RN),premium,488.73,Rainbow,Hotel BD,2,242.88,485.76,974.49
418,3,Aracaju (SE),Recife (PE),premium,875.41,Rainbow,Hotel AU,1,312.83,312.83,1188.24
419,3,Aracaju (SE),Campo Grande (MS),firstClass,1389.37,CloudFy,Hotel BW,2,60.39,120.78,1510.15
424,3,Aracaju (SE),Rio de Janeiro (RJ),economic,712.64,Rainbow,Hotel CB,1,165.99,165.99,878.63
426,4,Aracaju (SE),Recife (PE),economic,602.49,Rainbow,Hotel AU,2,312.83,625.66,1228.15
431,4,Brasilia (DF),Recife (PE),economic,421.2,Rainbow,Hotel AU,4,312.83,1251.32,1672.52
432,4,Brasilia (DF),Recife (PE),economic,421.2,Rainbow,Hotel AU,3,312.83,938.49,1359.69
440,4,Brasilia (DF),Salvador (BH),firstClass,1685.23,CloudFy,Hotel K,3,263.41,790.23,2475.46
442,4,Brasilia (DF),Aracaju (SE),premium,965.62,Rainbow,Hotel Z,2,208.04,416.08,1381.7
445,4,Recife (PE),Rio de Janeiro (RJ),firstClass,1612.39,CloudFy,Hotel CB,1,165.99,165.99,1778.38
447,4,Brasilia (DF),Sao Paulo (SP),firstClass,992.17,Rainbow,Hotel AF,2,139.1,278.2,1270.37
450,4,Aracaju (SE),Campo Grande (MS),firstClass,1389.37,CloudFy,Hotel BW,2,60.39,120.78,1510.15
452,4,Aracaju (SE),Florianopolis (SC),economic,852.18,Rainbow,Hotel A,1,313.02,313.02,1165.2
456,4,Brasilia (DF),Rio de Janeiro (RJ),premium,440.69,Rainbow,Hotel CB,3,165.99,497.97,938.66
457,4,Recife (PE),Campo Grande (MS),premium,832.77,Rainbow,Hotel BW,2,60.39,120.78,953.55
468,4,Recife (PE),Aracaju (SE),economic,663.23,Rainbow,Hotel Z,1,208.04,208.04,871.27
473,4,Recife (PE),Sao Paulo (SP),firstClass,954.78,FlyingDrops,Hotel AF,4,139.1,556.4,1511.18
481,4,Recife (PE),Florianopolis (SC),firstClass,1371.83,Rainbow,Hotel A,4,313.02,1252.08,2623.91
486,4,Brasilia (DF),Aracaju (SE),premium,987.07,CloudFy,Hotel Z,4,208.04,832.16,1819.23
490,4,Recife (PE),Rio de Janeiro (RJ),premium,1351.89,Rainbow,Hotel CB,1,165.99,165.99,1517.88
491,4,Brasilia (DF),Florianopolis (SC),premium,1189.32,CloudFy,Hotel A,4,313.02,1252.08,2441.4
494,4,Recife (PE),Sao Paulo (SP),economic,513.06,CloudFy,Hotel AF,2,139.1,278.2,791.26
498,4,Brasilia (DF),Rio de Janeiro (RJ),firstClass,586.04,Rainbow,Hotel CB,4,165.99,663.96,1250
500,4,Recife (PE),Salvador (BH),premium,1242.65,CloudFy,Hotel K,2,263.41,526.82,1769.47
501,4,Recife (PE),Rio de Janeiro (RJ),firstClass,1706.89,FlyingDrops,Hotel CB,1,165.99,165.99,1872.88
503,4,Aracaju (SE),Florianopolis (SC),firstClass,1515.79,CloudFy,Hotel A,2,313.02,626.04,2141.83
505,4,Aracaju (SE),Florianopolis (SC),firstClass,1582.41,Rainbow,Hotel A,2,313.02,626.04,2208.45
514,4,Aracaju (SE),Recife (PE),firstClass,1119.47,Rainbow,Hotel AU,3,312.83,938.49,2057.96
517,4,Recife (PE),Natal (RN),economic,360.22,Rainbow,Hotel BD,4,242.88,971.52,1331.74
529,4,Recife (PE),Sao Paulo (SP),firstClass,980.83,Rainbow,Hotel AF,3,139.1,417.3,1398.13
532,4,Aracaju (SE),Rio de Janeiro (RJ),economic,717.04,CloudFy,Hotel CB,4,165.99,663.96,1381
537,4,Brasilia (DF),Recife (PE),premium,559.13,Rainbow,Hotel AU,3,312.83,938.49,1497.62
541,4,Recife (PE),Rio de Janeiro (RJ),firstClass,1611.14,Rainbow,Hotel CB,3,165.99,497.97,2109.11
543,4,Brasilia (DF),Campo Grande (MS),firstClass,1009.71,FlyingDrops,Hotel BW,3,60.39,181.17,1190.88
545,4,Recife (PE),Campo Grande (MS),firstClass,1038.95,FlyingDrops,Hotel BW,1,60.39,60.39,1099.34
548,4,Brasilia (DF),Campo Grande (MS),premium,831.7,CloudFy,Hotel BW,2,60.39,120.78,952.48
555,4,Brasilia (DF),Florianopolis (SC),premium,1189.32,CloudFy,Hotel A,1,313.02,313.02,1502.34
556,4,Recife (PE),Salvador (BH),economic,842.11,CloudFy,Hotel K,3,263.41,790.23,1632.34
557,4,Recife (PE),Salvador (BH),premium,1249.83,Rainbow,Hotel K,1,263.41,263.41,1513.24
559,4,Recife (PE),Salvador (BH),economic,842.11,CloudFy,Hotel K,2,263.41,526.82,1368.93
562,4,Recife (PE),Natal (RN),economic,360.22,Rainbow,Hotel BD,2,242.88,485.76,845.98
564,4,Recife (PE),Rio de Janeiro (RJ),firstClass,1611.14,Rainbow,Hotel CB,1,165.99,165.99,1777.13
565,4,Recife (PE),Rio de Janeiro (RJ),firstClass,1611.14,Rainbow,Hotel CB,2,165.99,331.98,1943.12
574,4,Recife (PE),Brasilia (DF),premium,573.61,CloudFy,Hotel BP,4,247.62,990.48,1564.09
578,4,Recife (PE),Aracaju (SE),firstClass,1181.19,Rainbow,Hotel Z,3,208.04,624.12,1805.31
581,4,Brasilia (DF),Rio de Janeiro (RJ),economic,371.04,Rainbow,Hotel CB,3,165.99,497.97,869.01
582,4,Aracaju (SE),Sao Paulo (SP),premium,588.14,Rainbow,Hotel AF,3,139.1,417.3,1005.44
586,4,Recife (PE),Salvador (BH),premium,1242.65,CloudFy,Hotel K,2,263.41,526.82,1769.47
587,4,Aracaju (SE),Salvador (BH),firstClass,1723.71,Rainbow,Hotel K,1,263.41,263.41,1987.12
588,4,Aracaju (SE),Natal (RN),firstClass,577.71,FlyingDrops,Hotel BD,2,242.88,485.76,1063.47
590,4,Brasilia (DF),Recife (PE),economic,421.2,Rainbow,Hotel AU,2,312.83,625.66,1046.86
591,4,Brasilia (DF),Recife (PE),firstClass,772.21,Rainbow,Hotel AU,4,312.83,1251.32,2023.53
596,4,Recife (PE),Brasilia (DF),premium,638.63,Rainbow,Hotel BP,1,247.62,247.62,886.25
598,4,Recife (PE),Natal (RN),economic,360.22,Rainbow,Hotel BD,4,242.88,971.52,1331.74
604,4,Aracaju (SE),Sao Paulo (SP),firstClass,756.3,FlyingDrops,Hotel AF,3,139.1,417.3,1173.6
605,4,Recife (PE),Florianopolis (SC),economic,761.2,CloudFy,Hotel A,4,313.02,1252.08,2013.28
609,4,Brasilia (DF),Campo Grande (MS),firstClass,1096.58,CloudFy,Hotel BW,2,60.39,120.78,1217.36
619,4,Brasilia (DF),Rio de Janeiro (RJ),premium,440.69,Rainbow,Hotel CB,4,165.99,663.96,1104.65
621,4,Recife (PE),Brasilia (DF),premium,573.61,CloudFy,Hotel BP,4,247.62,990.48,1564.09
623,4,Recife (PE),Natal (RN),premium,474.6,CloudFy,Hotel BD,4,242.88,971.52,1446.12
624,5,Brasilia (DF),Salvador (BH),economic,921.08,Rainbow,Hotel K,2,263.41,526.82,1447.9
638,5,Recife (PE),Salvador (BH),economic,861.68,Rainbow,Hotel K,1,263.41,263.41,1125.09
643,5,Brasilia (DF),Sao Paulo (SP),firstClass,992.17,Rainbow,Hotel AF,3,139.1,417.3,1409.47
644,5,Recife (PE),Salvador (BH),economic,861.68,Rainbow,Hotel K,1,263.41,263.41,1125.09
646,5,Recife (PE),Salvador (BH),firstClass,1484.94,CloudFy,Hotel K,3,263.41,790.23,2275.17
648,5,Brasilia (DF),Rio de Janeiro (RJ),premium,457.95,CloudFy,Hotel CB,4,165.99,663.96,1121.91
658,5,Recife (PE),Natal (RN),firstClass,628.96,Rainbow,Hotel BD,1,242.88,242.88,871.84
668,5,Aracaju (SE),Campo Grande (MS),firstClass,1376.09,FlyingDrops,Hotel BW,1,60.39,60.39,1436.48
670,5,Brasilia (DF),Salvador (BH),firstClass,1724.49,FlyingDrops,Hotel K,3,263.41,790.23,2514.72
676,5,Brasilia (DF),Florianopolis (SC),firstClass,1569.65,FlyingDrops,Hotel A,4,313.02,1252.08,2821.73
680,5,Recife (PE),Sao Paulo (SP),premium,657.87,CloudFy,Hotel AF,2,139.1,278.2,936.07
683,5,Brasilia (DF),Sao Paulo (SP),firstClass,904,FlyingDrops,Hotel AF,1,139.1,139.1,1043.1
687,5,Recife (PE),Aracaju (SE),firstClass,1300.81,FlyingDrops,Hotel Z,1,208.04,208.04,1508.85
688,6,Aracaju (SE),Natal (RN),firstClass,549.96,Rainbow,Hotel BD,3,242.88,728.64,1278.6
690,6,Brasilia (DF),Sao Paulo (SP),firstClass,893.65,CloudFy,Hotel AF,3,139.1,417.3,1310.95
695,6,Brasilia (DF),Florianopolis (SC),firstClass,1569.65,FlyingDrops,Hotel A,2,313.02,626.04,2195.69
696,6,Brasilia (DF),Rio de Janeiro (RJ),firstClass,649.64,CloudFy,Hotel CB,2,165.99,331.98,981.62
698,6,Brasilia (DF),Recife (PE),firstClass,772.21,Rainbow,Hotel AU,1,312.83,312.83,1085.04
699,6,Brasilia (DF),Campo Grande (MS),firstClass,1096.58,CloudFy,Hotel BW,4,60.39,241.56,1338.14
701,6,Recife (PE),Brasilia (DF),firstClass,721.93,Rainbow,Hotel BP,4,247.62,990.48,1712.41
707,6,Aracaju (SE),Florianopolis (SC),premium,1132.81,Rainbow,Hotel A,2,313.02,626.04,1758.85
711,6,Recife (PE),Sao Paulo (SP),premium,657.87,CloudFy,Hotel AF,1,139.1,139.1,796.97
712,6,Aracaju (SE),Florianopolis (SC),economic,852.18,Rainbow,Hotel A,4,313.02,1252.08,2104.26
718,6,Brasilia (DF),Salvador (BH),economic,921.08,Rainbow,Hotel K,4,263.41,1053.64,1974.72
719,6,Aracaju (SE),Sao Paulo (SP),firstClass,730.43,CloudFy,Hotel AF,1,139.1,139.1,869.53
723,6,Aracaju (SE),Brasilia (DF),economic,472.72,CloudFy,Hotel BP,2,247.62,495.24,967.96
739,6,Recife (PE),Sao Paulo (SP),premium,657.87,CloudFy,Hotel AF,3,139.1,417.3,1075.17
745,6,Brasilia (DF),Salvador (BH),premium,1346.6,CloudFy,Hotel K,1,263.41,263.41,1610.01
746,6,Aracaju (SE),Rio de Janeiro (RJ),firstClass,1190.94,FlyingDrops,Hotel CB,4,165.99,663.96,1854.9
747,6,Aracaju (SE),Natal (RN),firstClass,549.96,Rainbow,Hotel BD,4,242.88,971.52,1521.48
749,6,Aracaju (SE),Florianopolis (SC),firstClass,1582.41,Rainbow,Hotel A,2,313.02,626.04,2208.45
753,6,Recife (PE),Brasilia (DF),firstClass,697.22,FlyingDrops,Hotel BP,2,247.62,495.24,1192.46
754,6,Aracaju (SE),Natal (RN),firstClass,577.71,FlyingDrops,Hotel BD,2,242.88,485.76,1063.47
755,6,Aracaju (SE),Salvador (BH),economic,943.36,Rainbow,Hotel K,1,263.41,263.41,1206.77
762,6,Aracaju (SE),Rio de Janeiro (RJ),firstClass,1190.94,FlyingDrops,Hotel CB,3,165.99,497.97,1688.91
767,6,Brasilia (DF),Sao Paulo (SP),premium,750,Rainbow,Hotel AF,3,139.1,417.3,1167.3
778,7,Aracaju (SE),Sao Paulo (SP),premium,630.34,CloudFy,Hotel AF,3,139.1,417.3,1047.64
787,7,Recife (PE),Campo Grande (MS),firstClass,1110.76,CloudFy,Hotel BW,1,60.39,60.39,1171.15
788,7,Recife (PE),Campo Grande (MS),firstClass,1038.95,FlyingDrops,Hotel BW,2,60.39,120.78,1159.73
793,7,Brasilia (DF),Rio de Janeiro (RJ),firstClass,586.04,Rainbow,Hotel CB,3,165.99,497.97,1084.01
795,7,Brasilia (DF),Campo Grande (MS),economic,583.6,CloudFy,Hotel BW,2,60.39,120.78,704.38
803,7,Recife (PE),Campo Grande (MS),premium,793.15,CloudFy,Hotel BW,4,60.39,241.56,1034.71
805,7,Brasilia (DF),Aracaju (SE),premium,965.62,Rainbow,Hotel Z,2,208.04,416.08,1381.7
806,7,Aracaju (SE),Recife (PE),economic,604.14,CloudFy,Hotel AU,3,312.83,938.49,1542.63
808,7,Brasilia (DF),Natal (RN),firstClass,1313.76,CloudFy,Hotel BD,3,242.88,728.64,2042.4
809,7,Aracaju (SE),Brasilia (DF),economic,548.62,Rainbow,Hotel BP,4,247.62,990.48,1539.1
812,7,Recife (PE),Natal (RN),economic,301.51,CloudFy,Hotel BD,2,242.88,485.76,787.27
815,7,Brasilia (DF),Recife (PE),premium,559.13,Rainbow,Hotel AU,3,312.83,938.49,1497.62
817,7,Aracaju (SE),Natal (RN),firstClass,577.71,FlyingDrops,Hotel BD,2,242.88,485.76,1063.47
819,7,Brasilia (DF),Campo Grande (MS),premium,831.7,CloudFy,Hotel BW,2,60.39,120.78,952.48
823,8,Brasilia (DF),Salvador (BH),premium,1268.97,Rainbow,Hotel K,4,263.41,1053.64,2322.61
826,8,Aracaju (SE),Florianopolis (SC),firstClass,1499.93,FlyingDrops,Hotel A,3,313.02,939.06,2438.99
827,8,Brasilia (DF),Recife (PE),firstClass,804.24,CloudFy,Hotel AU,4,312.83,1251.32,2055.56
830,8,Aracaju (SE),Natal (RN),premium,535.95,CloudFy,Hotel BD,4,242.88,971.52,1507.47
834,8,Aracaju (SE),Brasilia (DF),firstClass,959.29,Rainbow,Hotel BP,2,247.62,495.24,1454.53
836,8,Recife (PE),Sao Paulo (SP),premium,657.87,CloudFy,Hotel AF,1,139.1,139.1,796.97
838,8,Recife (PE),Natal (RN),premium,488.73,Rainbow,Hotel BD,1,242.88,242.88,731.61
840,8,Brasilia (DF),Aracaju (SE),firstClass,1214.82,Rainbow,Hotel Z,1,208.04,208.04,1422.86
852,8,Aracaju (SE),Florianopolis (SC),firstClass,1499.93,FlyingDrops,Hotel A,1,313.02,313.02,1812.95
