travelCode,userCode,name,place,days,price,total
388,3,Hotel BD,Natal (RN),4,242.88,971.52
394,3,Hotel K,Salvador (BH),4,263.41,1053.64
397,3,Hotel AU,Recife (PE),4,312.83,1251.32
398,3,Hotel BW,Campo Grande (MS),4,60.39,241.56
403,3,Hotel AF,Sao Paulo (SP),3,139.1,417.3
404,3,Hotel Z,Aracaju (SE),1,208.04,208.04
406,3,Hotel BD,Natal (RN),2,242.88,485.76
408,3,Hotel K,Salvador (BH),1,263.41,263.41
409,3,Hotel K,Salvador (BH),3,263.41,790.23
410,3,Hotel BW,Campo Grande (MS),3,60.39,181.17
412,3,Hotel A,Florianopolis (SC),2,313.02,626.04
415,3,Hotel CB,Rio de Janeiro (RJ),2,165.99,331.98
417,3,Hotel BD,Natal (RN),2,242.88,485.76
418,3,Hotel AU,Recife (PE),1,312.83,312.83
419,3,Hotel BW,Campo Grande (MS),2,60.39,120.78
424,3,Hotel CB,Rio de Janeiro (RJ),1,165.99,165.99
426,4,Hotel AU,Recife (PE),2,312.83,625.66
431,4,Hotel AU,Recife (PE),4,312.83,1251.32
432,4,Hotel AU,Recife (PE),3,312.83,938.49
440,4,Hotel K,Salvador (BH),3,263.41,790.23
442,4,Hotel Z,Aracaju (SE),2,208.04,416.08
445,4,Hotel CB,Rio de Janeiro (RJ),1,165.99,165.99
447,4,Hotel AF,Sao Paulo (SP),2,139.1,278.2
450,4,Hotel BW,Campo Grande (MS),2,60.39,120.78
452,4,Hotel A,Florianopolis (SC),1,313.02,313.02
456,4,Hotel CB,Rio de Janeiro (RJ),3,165.99,497.97
457,4,Hotel BW,Campo Grande (MS),2,60.39,120.78
468,4,Hotel Z,Aracaju (SE),1,208.04,208.04
473,4,Hotel AF,Sao Paulo (SP),4,139.1,556.4
481,4,Hotel A,Florianopolis (SC),4,313.02,1252.08
486,4,Hotel Z,Aracaju (SE),4,208.04,832.16
490,4,Hotel CB,Rio de Janeiro (RJ),1,165.99,165.99
491,4,Hotel A,Florianopolis (SC),4,313.02,1252.08
494,4,Hotel AF,Sao Paulo (SP),2,139.1,278.2
498,4,Hotel CB,Rio de Janeiro (RJ),4,165.99,663.96
500,4,Hotel K,Salvador (BH),2,263.41,526.82
501,4,Hotel CB,Rio de Janeiro (RJ),1,165.99,165.99
503,4,Hotel A,Florianopolis (SC),2,313.02,626.04
505,4,Hotel A,Florianopolis (SC),2,313.02,626.04
514,4,Hotel AU,Recife (PE),3,312.83,938.49
517,4,Hotel BD,Natal (RN),4,242.88,971.52
529,4,Hotel AF,Sao Paulo (SP),3,139.1,417.3
532,4,Hotel CB,Rio de Janeiro (RJ),4,165.99,663.96
537,4,Hotel AU,Recife (PE),3,312.83,938.49
541,4,Hotel CB,Rio de Janeiro (RJ),3,165.99,497.97
543,4,Hotel BW,Campo Grande (MS),3,60.39,181.17
545,4,Hotel BW,Campo Grande (MS),1,60.39,60.39
548,4,Hotel BW,Campo Grande (MS),2,60.39,120.78
555,4,Hotel A,Florianopolis (SC),1,313.02,313.02
556,4,Hotel K,Salvador (BH),3,263.41,790.23
557,4,Hotel K,Salvador (BH),1,263.41,263.41
559,4,Hotel K,Salvador (BH),2,263.41,526.82
562,4,Hotel BD,Natal (RN),2,242.88,485.76
564,4,Hotel CB,Rio de Janeiro (RJ),1,165.99,165.99
565,4,Hotel CB,Rio de Janeiro (RJ),2,165.99,331.98
574,4,Hotel BP,Brasilia (DF),4,247.62,990.48
578,4,Hotel Z,Aracaju (SE),3,208.04,624.12
581,4,Hotel CB,Rio de Janeiro (RJ),3,165.99,497.97
582,4,Hotel AF,Sao Paulo (SP),3,139.1,417.3
586,4,Hotel K,Salvador (BH),2,263.41,526.82
587,4,Hotel K,Salvador (BH),1,263.41,263.41
588,4,Hotel BD,Natal (RN),2,242.88,485.76
590,4,Hotel AU,Recife (PE),2,312.83,625.66
591,4,Hotel AU,Recife (PE),4,312.83,1251.32
596,4,Hotel BP,Brasilia (DF),1,247.62,247.62
598,4,Hotel BD,Natal (RN),4,242.88,971.52
604,4,Hotel AF,Sao Paulo (SP),3,139.1,417.3
605,4,Hotel A,Florianopolis (SC),4,313.02,1252.08
609,4,Hotel BW,Campo Grande (MS),2,60.39,120.78
619,4,Hotel CB,Rio de Janeiro (RJ),4,165.99,663.96
621,4,Hotel BP,Brasilia (DF),4,247.62,990.48
623,4,Hotel BD,Natal (RN),4,242.88,971.52
624,5,Hotel K,Salvador (BH),2,263.41,526.82
638,5,Hotel K,Salvador (BH),1,263.41,263.41
643,5,Hotel AF,Sao Paulo (SP),3,139.1,417.3
644,5,Hotel K,Salvador (BH),1,263.41,263.41
646,5,Hotel K,Salvador (BH),3,263.41,790.23
648,5,Hotel CB,Rio de Janeiro (RJ),4,165.99,663.96
658,5,Hotel BD,Natal (RN),1,242.88,242.88
668,5,Hotel BW,Campo Grande (MS),1,60.39,60.39
670,5,Hotel K,Salvador (BH),3,263.41,790.23
676,5,Hotel A,Florianopolis (SC),4,313.02,1252.08
680,5,Hotel AF,Sao Paulo (SP),2,139.1,278.2
683,5,Hotel AF,Sao Paulo (SP),1,139.1,139.1
687,5,Hotel Z,Aracaju (SE),1,208.04,208.04
688,6,Hotel BD,Natal (RN),3,242.88,728.64
690,6,Hotel AF,Sao Paulo (SP),3,139.1,417.3
695,6,Hotel A,Florianopolis (SC),2,313.02,626.04
696,6,Hotel CB,Rio de Janeiro (RJ),2,165.99,331.98
698,6,Hotel AU,Recife (PE),1,312.83,312.83
699,6,Hotel BW,Campo Grande (MS),4,60.39,241.56
701,6,Hotel BP,Brasilia (DF),4,247.62,990.48
707,6,Hotel A,Florianopolis (SC),2,313.02,626.04
711,6,Hotel AF,Sao Paulo (SP),1,139.1,139.1
712,6,Hotel A,Florianopolis (SC),4,313.02,1252.08
718,6,Hotel K,Salvador (BH),4,263.41,1053.64
719,6,Hotel AF,Sao Paulo (SP),1,139.1,139.1
723,6,Hotel BP,Brasilia (DF),2,247.62,495.24
739,6,Hotel AF,Sao Paulo (SP),3,139.1,417.3
745,6,Hotel K,Salvador (BH),1,263.41,263.41
746,6,Hotel CB,Rio de Janeiro (RJ),4,165.99,663.96
747,6,Hotel BD,Natal (RN),4,242.88,971.52
749,6,Hotel A,Florianopolis (SC),2,313.02,626.04
753,6,Hotel BP,Brasilia (DF),2,247.62,495.24
754,6,Hotel BD,Natal (RN),2,242.88,485.76
755,6,Hotel K,Salvador (BH),1,263.41,263.41
762,6,Hotel CB,Rio de Janeiro (RJ),3,165.99,497.97
767,6,Hotel AF,Sao Paulo (SP),3,139.1,417.3
778,7,Hotel AF,Sao Paulo (SP),3,139.1,417.3
787,7,Hotel BW,Campo Grande (MS),1,60.39,60.39
788,7,Hotel BW,Campo Grande (MS),2,60.39,120.78
793,7,Hotel CB,Rio de Janeiro (RJ),3,165.99,497.97
795,7,Hotel BW,Campo Grande (MS),2,60.39,120.78
803,7,Hotel BW,Campo Grande (MS),4,60.39,241.56
805,7,Hotel Z,Aracaju (SE),2,208.04,416.08
806,7,Hotel AU,Recife (PE),3,312.83,938.49
808,7,Hotel BD,Natal (RN),3,242.88,728.64
809,7,Hotel BP,Brasilia (DF),4,247.62,990.48
812,7,Hotel BD,Natal (RN),2,242.88,485.76
815,7,Hotel AU,Recife (PE),3,312.83,938.49
817,7,Hotel BD,Natal (RN),2,242.88,485.76
819,7,Hotel BW,Campo Grande (MS),2,60.39,120.78
823,8,Hotel K,Salvador (BH),4,263.41,1053.64
826,8,Hotel A,Florianopolis (SC),3,313.02,939.06
827,8,Hotel AU,Recife (PE),4,312.83,1251.32
830,8,Hotel BD,Natal (RN),4,242.88,971.52
834,8,Hotel BP,Brasilia (DF),2,247.62,495.24
836,8,Hotel AF,Sao Paulo (SP),1,139.1,139.1
838,8,Hotel BD,Natal (RN),1,242.88,242.88
840,8,Hotel Z,Aracaju (SE),1,208.04,208.04
852,8,Hotel A,Florianopolis (SC),1,313.02,313.02
857,8,Hotel CB,Rio de Janeiro (RJ),2,165.99,331.98
861,8,Hotel CB,Rio de Janeiro (RJ),2,165.99,331.98
862,8,Hotel CB,Rio de Janeiro (RJ),1,165.99,165.99
864,8,Hotel BP,Brasilia (DF),2,247.62,495.24
865,8,Hotel BW,Campo Grande (MS),3,60.39,181.17
869,8,Hotel BP,Brasilia (DF),4,247.62,990.48
871,8,Hotel BD,Natal (RN),4,242.88,971.52
892,8,Hotel A,Florianopolis (SC),2,313.02,626.04
894,8,Hotel BP,Brasilia (DF),3,247.62,742.86
900,8,Hotel BD,Natal (RN),2,242.88,485.76
904,8,Hotel AU,Recife (PE),4,312.83,1251.32
907,8,Hotel AU,Recife (PE),3,312.83,938.49
911,8,Hotel BD,Natal (RN),4,242.88,971.52
913,8,Hotel A,Florianopolis (SC),1,313.02,313.02
914,8,Hotel BD,Natal (RN),3,242.88,728.64
917,8,Hotel BD,Natal (RN),3,242.88,728.64
919,8,Hotel BW,Campo Grande (MS),4,60.39,241.56
920,8,Hotel BD,Natal (RN),4,242.88,971.52
922,8,Hotel AU,Recife (PE),4,312.83,1251.32
923,8,Hotel A,Florianopolis (SC),4,313.02,1252.08
925,8,Hotel BW,Campo Grande (MS),1,60.39,60.39
928,8,Hotel BW,Campo Grande (MS),1,60.39,60.39
932,8,Hotel K,Salvador (BH),2,263.41,526.82
935,8,Hotel BD,Natal (RN),3,242.88,728.64
938,8,Hotel AF,Sao Paulo (SP),3,139.1,417.3
942,8,Hotel BW,Campo Grande (MS),1,60.39,60.39
944,8,Hotel AU,Recife (PE),3,312.83,938.49
945,8,Hotel BD,Natal (RN),1,242.88,242.88
948,8,Hotel BD,Natal (RN),4,242.88,971.52
950,8,Hotel AF,Sao Paulo (SP),4,139.1,556.4
957,8,Hotel Z,Aracaju (SE),4,208.04,832.16
958,8,Hotel BD,Natal (RN),2,242.88,485.76
962,8,Hotel AU,Recife (PE),2,312.83,625.66
966,8,Hotel Z,Aracaju (SE),2,208.04,416.08
967,8,Hotel CB,Rio de Janeiro (RJ),3,165.99,497.97
969,8,Hotel BW,Campo Grande (MS),2,60.39,120.78
970,8,Hotel AF,Sao Paulo (SP),1,139.1,139.1
972,8,Hotel AU,Recife (PE),3,312.83,938.49
974,8,Hotel A,Florianopolis (SC),1,313.02,313.02
977,8,Hotel AU,Recife (PE),4,312.83,1251.32
984,8,Hotel Z,Aracaju (SE),4,208.04,832.16
987,8,Hotel Z,Aracaju (SE),1,208.04,208.04
988,8,Hotel K,Salvador (BH),4,263.41,1053.64
997,9,Hotel AF,Sao Paulo (SP),4,139.1,556.4
998,9,Hotel BD,Natal (RN),2,242.88,485.76
999,9,Hotel A,Florianopolis (SC),3,313.02,939.06
1006,9,Hotel AU,Recife (PE),2,312.83,625.66
1007,9,Hotel Z,Aracaju (SE),2,208.04,416.08
1012,9,Hotel AU,Recife (PE),4,312.83,1251.32
1014,9,Hotel BW,Campo Grande (MS),3,60.39,181.17
1016,9,Hotel K,Salvador (BH),4,263.41,1053.64
1018,9,Hotel BW,Campo Grande (MS),2,60.39,120.78
1025,9,Hotel K,Salvador (BH),4,263.41,1053.64
1034,9,Hotel A,Florianopolis (SC),2,313.02,626.04
1035,9,Hotel BW,Campo Grande (MS),4,60.39,241.56
1038,9,Hotel BP,Brasilia (DF),1,247.62,247.62
1041,9,Hotel Z,Aracaju (SE),4,208.04,832.16
1048,9,Hotel A,Florianopolis (SC),3,313.02,939.06
1051,9,Hotel AF,Sao Paulo (SP),4,139.1,556.4
1052,9,Hotel BP,Brasilia (DF),4,247.62,990.48
1053,9,Hotel AF,Sao Paulo (SP),2,139.1,278.2
1055,9,Hotel K,Salvador (BH),3,263.41,790.23
1065,9,Hotel CB,Rio de Janeiro (RJ),3,165.99,497.97
1067,9,Hotel K,Salvador (BH),3,263.41,790.23
1077,9,Hotel BW,Campo Grande (MS),1,60.39,60.39
1078,9,Hotel K,Salvador (BH),3,263.41,790.23
1084,9,Hotel CB,Rio de Janeiro (RJ),1,165.99,165.99
1090,9,Hotel CB,Rio de Janeiro (RJ),3,165.99,497.97
1091,9,Hotel BW,Campo Grande (MS),2,60.39,120.78
1093,9,Hotel BW,Campo Grande (MS),4,60.39,241.56
1095,9,Hotel K,Salvador (BH),1,263.41,263.41
1096,9,Hotel BW,Campo Grande (MS),3,60.39,181.17
1101,9,Hotel BP,Brasilia (DF),3,247.62,742.86
1103,9,Hotel AU,Recife (PE),4,312.83,1251.32
1106,9,Hotel BW,Campo Grande (MS),3,60.39,181.17
1113,10,Hotel BD,Natal (RN),1,242.88,242.88
1119,10,Hotel K,Salvador (BH),3,263.41,790.23
1125,10,Hotel BP,Brasilia (DF),4,247.62,990.48
1133,10,Hotel BP,Brasilia (DF),4,247.62,990.48
1136,10,Hotel K,Salvador (BH),2,263.41,526.82
1139,10,Hotel BW,Campo Grande (MS),1,60.39,60.39
1144,10,Hotel BW,Campo Grande (MS),3,60.39,181.17
1150,10,Hotel K,Salvador (BH),1,263.41,263.41
1151,10,Hotel CB,Rio de Janeiro (RJ),4,165.99,663.96
1157,10,Hotel BP,Brasilia (DF),3,247.62,742.86
1160,10,Hotel K,Salvador (BH),3,263.41,790.23
1162,10,Hotel BD,Natal (RN),1,242.88,242.88
1164,10,Hotel BW,Campo Grande (MS),4,60.39,241.56
1166,10,Hotel A,Florianopolis (SC),4,313.02,1252.08
1167,10,Hotel CB,Rio de Janeiro (RJ),2,165.99,331.98
1173,10,Hotel A,Florianopolis (SC),4,313.02,1252.08
1174,10,Hotel BP,Brasilia (DF),1,247.62,247.62
1177,11,Hotel BW,Campo Grande (MS),2,60.39,120.78
1180,11,Hotel A,Florianopolis (SC),2,313.02,626.04
1183,11,Hotel BP,Brasilia (DF),4,247.62,990.48
1184,11,Hotel K,Salvador (BH),4,263.41,1053.64
1188,11,Hotel AF,Sao Paulo (SP),1,139.1,139.1
1190,11,Hotel AF,Sao Paulo (SP),1,139.1,139.1
1192,11,Hotel K,Salvador (BH),2,263.41,526.82
1193,11,Hotel CB,Rio de Janeiro (RJ),4,165.99,663.96
1198,11,Hotel A,Florianopolis (SC),3,313.02,939.06
1201,11,Hotel A,Florianopolis (SC),2,313.02,626.04
1202,11,Hotel BW,Campo Grande (MS),2,60.39,120.78
1204,11,Hotel BP,Brasilia (DF),1,247.62,247.62
1209,11,Hotel AF,Sao Paulo (SP),2,139.1,278.2
1213,11,Hotel BP,Brasilia (DF),1,247.62,247.62
1220,11,Hotel CB,Rio de Janeiro (RJ),4,165.99,663.96
1222,11,Hotel A,Florianopolis (SC),2,313.02,626.04
1226,11,Hotel BD,Natal (RN),3,242.88,728.64
1227,11,Hotel CB,Rio de Janeiro (RJ),2,165.99,331.98
1238,11,Hotel BD,Natal (RN),4,242.88,971.52
1250,11,Hotel BD,Natal (RN),1,242.88,242.88
1252,11,Hotel Z,Aracaju (SE),2,208.04,416.08
1255,11,Hotel AF,Sao Paulo (SP),1,139.1,139.1
1257,11,Hotel BD,Natal (RN),3,242.88,728.64
1262,11,Hotel AF,Sao Paulo (SP),4,139.1,556.4
1263,11,Hotel K,Salvador (BH),4,263.41,1053.64
1268,11,Hotel A,Florianopolis (SC),4,313.02,1252.08
1270,11,Hotel CB,Rio de Janeiro (RJ),3,165.99,497.97
1271,11,Hotel AU,Recife (PE),3,312.83,938.49
1274,11,Hotel A,Florianopolis (SC),2,313.02,626.04
1276,11,Hotel A,Florianopolis (SC),1,313.02,313.02
1278,11,Hotel Z,Aracaju (SE),3,208.04,624.12
1280,11,Hotel BP,Brasilia (DF),3,247.62,742.86
1281,11,Hotel CB,Rio de Janeiro (RJ),3,165.99,497.97
1282,11,Hotel BD,Natal (RN),4,242.88,971.52
1283,11,Hotel AF,Sao Paulo (SP),2,139.1,278.2
1289,11,Hotel AF,Sao Paulo (SP),1,139.1,139.1
1290,11,Hotel Z,Aracaju (SE),3,208.04,624.12
1292,11,Hotel K,Salvador (BH),2,263.41,526.82
1294,11,Hotel K,Salvador (BH),4,263.41,1053.64
1299,11,Hotel BD,Natal (RN),1,242.88,242.88
1301,11,Hotel CB,Rio de Janeiro (RJ),1,165.99,165.99
1303,11,Hotel BP,Brasilia (DF),4,247.62,990.48
1316,11,Hotel BP,Brasilia (DF),2,247.62,495.24
1319,11,Hotel Z,Aracaju (SE),3,208.04,624.12
1322,11,Hotel BD,Natal (RN),2,242.88,485.76
1325,11,Hotel K,Salvador (BH),3,263.41,790.23
1327,11,Hotel A,Florianopolis (SC),3,313.02,939.06
1328,11,Hotel BW,Campo Grande (MS),4,60.39,241.56
1334,11,Hotel Z,Aracaju (SE),4,208.04,832.16
1349,11,Hotel AF,Sao Paulo (SP),1,139.1,139.1
1350,11,Hotel Z,Aracaju (SE),3,208.04,624.12
1357,11,Hotel BW,Campo Grande (MS),1,60.39,60.39
1362,11,Hotel CB,Rio de Janeiro (RJ),2,165.99,331.98
1365,11,Hotel BD,Natal (RN),1,242.88,242.88
1368,12,Hotel BD,Natal (RN),1,242.88,242.88
1369,12,Hotel CB,Rio de Janeiro (RJ),3,165.99,497.97
1371,12,Hotel Z,Aracaju (SE),1,208.04,208.04
1378,12,Hotel CB,Rio de Janeiro (RJ),1,165.99,165.99
1380,12,Hotel CB,Rio de Janeiro (RJ),4,165.99,663.96
1383,12,Hotel BD,Natal (RN),4,242.88,971.52
1388,12,Hotel AU,Recife (PE),1,312.83,312.83
1389,12,Hotel AU,Recife (PE),2,312.83,625.66
1391,12,Hotel CB,Rio de Janeiro (RJ),3,165.99,497.97
1396,12,Hotel BP,Brasilia (DF),3,247.62,742.86
1397,12,Hotel K,Salvador (BH),4,263.41,1053.64
1398,12,Hotel BW,Campo Grande (MS),4,60.39,241.56
1400,12,Hotel K,Salvador (BH),1,263.41,263.41
1404,12,Hotel CB,Rio de Janeiro (RJ),3,165.99,497.97
1405,12,Hotel AF,Sao Paulo (SP),4,139.1,556.4
1407,12,Hotel A,Florianopolis (SC),1,313.02,313.02
1408,12,Hotel AF,Sao Paulo (SP),1,139.1,139.1
1412,12,Hotel BD,Natal (RN),4,242.88,971.52
1414,12,Hotel AU,Recife (PE),1,312.83,312.83
1415,12,Hotel A,Florianopolis (SC),3,313.02,939.06
1417,12,Hotel Z,Aracaju (SE),3,208.04,624.12
1420,12,Hotel CB,Rio de Janeiro (RJ),1,165.99,165.99
1425,12,Hotel AU,Recife (PE),1,312.83,312.83
1429,12,Hotel Z,Aracaju (SE),3,208.04,624.12
1431,12,Hotel AF,Sao Paulo (SP),3,139.1,417.3
1435,12,Hotel BD,Natal (RN),4,242.88,971.52
1440,13,Hotel AU,Recife (PE),4,312.83,1251.32
1441,13,Hotel K,Salvador (BH),2,263.41,526.82
1442,13,Hotel Z,Aracaju (SE),2,208.04,416.08
1443,13,Hotel BP,Brasilia (DF),4,247.62,990.48
1444,13,Hotel CB,Rio de Janeiro (RJ),2,165.99,331.98
1445,13,Hotel CB,Rio de Janeiro (RJ),1,165.99,165.99
1447,13,Hotel AU,Recife (PE),2,312.83,625.66
1453,13,Hotel A,Florianopolis (SC),2,313.02,626.04
1454,13,Hotel K,Salvador (BH),4,263.41,1053.64
1456,13,Hotel K,Salvador (BH),2,263.41,526.82
1463,13,Hotel K,Salvador (BH),3,263.41,790.23
1466,13,Hotel AF,Sao Paulo (SP),4,139.1,556.4
1470,13,Hotel BW,Campo Grande (MS),2,60.39,120.78
1476,13,Hotel K,Salvador (BH),4,263.41,1053.64
1479,13,Hotel AU,Recife (PE),2,312.83,625.66
1482,13,Hotel BW,Campo Grande (MS),4,60.39,241.56
1483,13,Hotel CB,Rio de Janeiro (RJ),1,165.99,165.99
1495,13,Hotel BD,Natal (RN),4,242.88,971.52
1496,13,Hotel K,Salvador (BH),3,263.41,790.23
1499,13,Hotel A,Florianopolis (SC),2,313.02,626.04
1503,13,Hotel BD,Natal (RN),4,242.88,971.52
1505,13,Hotel AU,Recife (PE),2,312.83,625.66
1507,13,Hotel AU,Recife (PE),1,312.83,312.83
1508,13,Hotel BW,Campo Grande (MS),2,60.39,120.78
1518,13,Hotel CB,Rio de Janeiro (RJ),2,165.99,331.98
1524,13,Hotel AU,Recife (PE),4,312.83,1251.32
1525,13,Hotel CB,Rio de Janeiro (RJ),2,165.99,331.98
1526,13,Hotel K,Salvador (BH),3,263.41,790.23
1528,13,Hotel CB,Rio de Janeiro (RJ),4,165.99,663.96
1534,13,Hotel Z,Aracaju (SE),4,208.04,832.16
1535,13,Hotel Z,Aracaju (SE),4,208.04,832.16
1536,13,Hotel K,Salvador (BH),1,263.41,263.41
1538,13,Hotel AF,Sao Paulo (SP),1,139.1,139.1
1539,13,Hotel K,Salvador (BH),4,263.41,1053.64
1540,13,Hotel BW,Campo Grande (MS),1,60.39,60.39
1546,13,Hotel Z,Aracaju (SE),3,208.04,624.12
1548,13,Hotel K,Salvador (BH),1,263.41,263.41
1554,13,Hotel BW,Campo Grande (MS),4,60.39,241.56
1556,13,Hotel K,Salvador (BH),4,263.41,1053.64
1557,13,Hotel BD,Natal (RN),4,242.88,971.52
1566,13,Hotel Z,Aracaju (SE),3,208.04,624.12
1575,13,Hotel BW,Campo Grande (MS),1,60.39,60.39
1576,13,Hotel BP,Brasilia (DF),4,247.62,990.48
